Added RAM, 2021-04-30T17:10:18.780312341
Added supplier, 2021-04-30T17:11:04.249989856
Added supplier, 2021-04-30T17:11:04.377033176
Added supplier, 2021-04-30T17:11:04.383173652
Added HDD, 2021-04-30T17:11:04.391364036
Added HDD, 2021-04-30T17:11:04.393106221
Added CPU, 2021-04-30T17:11:04.394530179
Added GPU, 2021-04-30T17:11:04.432617907
Added HDD, 2021-04-30T17:11:04.433975090
Added RAM, 2021-04-30T17:11:04.435059485
Added SSD, 2021-04-30T17:11:04.436345231
Added RAM, 2021-04-30T17:11:04.437636785
Added supplier, 2021-04-30T17:11:32.285852304
Added supplier, 2021-04-30T17:11:32.325096727
Added supplier, 2021-04-30T17:11:32.326486756
Added HDD, 2021-04-30T17:11:32.333777364
Added HDD, 2021-04-30T17:11:32.335319566
Added CPU, 2021-04-30T17:11:32.337339780
Added GPU, 2021-04-30T17:11:32.370967822
Added HDD, 2021-04-30T17:11:32.373233563
Added RAM, 2021-04-30T17:11:32.374355734
Added SSD, 2021-04-30T17:11:32.375586532
Added RAM, 2021-04-30T17:11:32.377005971
Added supplier, 2021-04-30T17:15:54.431756516
Added supplier, 2021-04-30T17:15:54.479444660
Added supplier, 2021-04-30T17:15:54.483426989
Added HDD, 2021-04-30T17:15:54.490572533
Added HDD, 2021-04-30T17:15:54.492302100
Added CPU, 2021-04-30T17:15:54.493666915
Added GPU, 2021-04-30T17:15:54.515575220
Added HDD, 2021-04-30T17:15:54.516570086
Added RAM, 2021-04-30T17:15:54.517314126
Added SSD, 2021-04-30T17:15:54.518150715
Added RAM, 2021-04-30T17:15:54.519409458
Added PSU, 2021-04-30T17:16:53.327372005
CVS file updated, 2021-04-30T17:17:02.317034001
Added supplier, 2021-04-30T17:17:21.144027568
Added supplier, 2021-04-30T17:17:21.172597408
Added supplier, 2021-04-30T17:17:21.173336510
Added HDD, 2021-04-30T17:17:21.178113181
Added HDD, 2021-04-30T17:17:21.179323933
Added CPU, 2021-04-30T17:17:21.180412321
Added GPU, 2021-04-30T17:17:21.181881383
Added HDD, 2021-04-30T17:17:21.182994031
Added RAM, 2021-04-30T17:17:21.184140961
Added SSD, 2021-04-30T17:17:21.185326252
Added RAM, 2021-04-30T17:17:21.186457637
Added PSU, 2021-04-30T17:18:50.910701783
Added supplier, 2021-04-30T17:20:34.092983526
Added supplier, 2021-04-30T17:20:34.166611968
Added supplier, 2021-04-30T17:20:34.167450970
Added HDD, 2021-04-30T17:20:34.194893304
Added HDD, 2021-04-30T17:20:34.196695841
Added CPU, 2021-04-30T17:20:34.198123901
Added GPU, 2021-04-30T17:20:34.199804804
Added HDD, 2021-04-30T17:20:34.201053109
Added RAM, 2021-04-30T17:20:34.212507005
Added SSD, 2021-04-30T17:20:34.217124438
Added RAM, 2021-04-30T17:20:34.219592347
Added PSU, 2021-04-30T17:20:41.448273149
CVS file updated, 2021-04-30T17:20:50.483228590
Added supplier, 2021-04-30T17:21:06.303670457
Added supplier, 2021-04-30T17:21:06.345341652
Added supplier, 2021-04-30T17:21:06.346329560
Added HDD, 2021-04-30T17:21:06.353923926
Added HDD, 2021-04-30T17:21:06.355530080
Added CPU, 2021-04-30T17:21:06.357007809
Added GPU, 2021-04-30T17:21:06.359663189
Added HDD, 2021-04-30T17:21:06.361059774
Added RAM, 2021-04-30T17:21:06.362290343
Added SSD, 2021-04-30T17:21:06.363659015
Added RAM, 2021-04-30T17:21:06.364925032
Added PSU, 2021-04-30T17:21:06.366045883
Added supplier, 2021-04-30T17:21:22.781676315
Added supplier, 2021-04-30T17:21:22.810377101
Added supplier, 2021-04-30T17:21:22.811054878
Added HDD, 2021-04-30T17:21:22.822180814
Added HDD, 2021-04-30T17:21:22.823847493
Added CPU, 2021-04-30T17:21:22.825319243
Added GPU, 2021-04-30T17:21:22.842604436
Added HDD, 2021-04-30T17:21:22.843972155
Added RAM, 2021-04-30T17:21:22.845055554
Added SSD, 2021-04-30T17:21:22.847465427
Added RAM, 2021-04-30T17:21:22.848743675
Added PSU, 2021-04-30T17:21:22.849766823
Added supplier, 2021-04-30T17:25:08.280065191
Added supplier, 2021-04-30T17:25:08.314197543
Added supplier, 2021-04-30T17:25:08.315280359
Added HDD, 2021-04-30T17:25:08.322080479
Added HDD, 2021-04-30T17:25:08.323600241
Added CPU, 2021-04-30T17:25:08.325031112
Added supplier, 2021-04-30T17:30:11.677078687
Added supplier, 2021-04-30T17:30:11.715691354
Added supplier, 2021-04-30T17:30:11.716954561
Added HDD, 2021-04-30T17:30:11.723250607
Added HDD, 2021-04-30T17:30:11.727613044
Added CPU, 2021-04-30T17:30:11.728927069
Product with id 49 got assigned the supplier with id 88, 2021-04-30T17:30:11.760128324
Added GPU, 2021-04-30T17:30:11.761582961
Added HDD, 2021-04-30T17:30:11.762815042
Added RAM, 2021-04-30T17:30:11.763761035
Added SSD, 2021-04-30T17:30:11.764969131
Added RAM, 2021-04-30T17:30:11.766028354
Added PSU, 2021-04-30T17:30:11.767136785
Added supplier, 2021-04-30T17:33:49.536818452
Added supplier, 2021-04-30T17:33:49.575458534
Added supplier, 2021-04-30T17:33:49.576525981
Added HDD, 2021-04-30T17:33:49.583846440
Added HDD, 2021-04-30T17:33:49.588343512
Added CPU, 2021-04-30T17:33:49.589641269
Product with id 49 got assigned the supplier with id 88, 2021-04-30T17:33:49.623706326
Added GPU, 2021-04-30T17:33:49.625185481
Added HDD, 2021-04-30T17:33:49.626474874
Added RAM, 2021-04-30T17:33:49.627558781
Added SSD, 2021-04-30T17:33:49.628704222
Product with id 12 got assigned the supplier with id 58, 2021-04-30T17:33:49.629381012
Added RAM, 2021-04-30T17:33:49.630044441
Added PSU, 2021-04-30T17:33:49.630891391
Deleted product with id 12, 2021-04-30T17:34:14.959205809
CVS file updated, 2021-04-30T17:34:20.068627184
Added supplier, 2021-04-30T17:35:11.729425297
Added supplier, 2021-04-30T17:35:11.782691824
Added supplier, 2021-04-30T17:35:11.783613368
Added HDD, 2021-04-30T17:35:11.791186005
Added HDD, 2021-04-30T17:35:11.797209303
Added CPU, 2021-04-30T17:35:11.798560457
Product with id 49 got assigned the supplier with id 88, 2021-04-30T17:35:11.831743369
Added GPU, 2021-04-30T17:35:11.833223828
Added HDD, 2021-04-30T17:35:11.834535544
Added RAM, 2021-04-30T17:35:11.835586319
Added SSD, 2021-04-30T17:35:11.836830667
Product with id 12 got assigned the supplier with id 58, 2021-04-30T17:35:11.837698868
Added RAM, 2021-04-30T17:35:11.838707491
Added PSU, 2021-04-30T17:35:11.839750782
